baseapplication,bytes,configuration,event_functions,file,functions,global_variables,productversion,root_time,sha256,top_level_tasks,zones
,168422,Swing XL Isynth,2,20260407 AMR 20260325 SAT Riehen new configuration LUM_AKI_tmp.app,3,5,2.47.1.1,2026-05-28T18:46:49+09:00,d055333098d1d056bead76806e07d46308ce501ea2408cdcd96d0a18ca7c6de6,6,74
,170052,Swing XL Isynth,0,Orig config20260415_aki_test.app,3,5,2.47.1.1,2026-06-09T19:06:36+09:00,e4af7fe4333a2c3d41cde6d263e73cfa0218bd424e740c8488f8e1cab6fde755,9,79
,75767,Swing,0,Suzuki-Miyaura-automation.app,9,0,2.47.1.1,2026-04-13T19:20:15+09:00,87bf2a7b00fdb5f43403faa814c076e727b42a75614abd2cb3f840a96fd3dc0e,4,272
,167587,Swing XL Isynth,2,config20260408_aki.app,4,5,2.47.1.1,2026-04-08T19:54:15+09:00,d5a28b93d699401ce1a3b88106551f4e2f9945c8cebfc51faed09aafd2fa6be8,5,74
,169690,Swing XL Isynth,0,config20260413_aki.app,3,5,2.47.1.1,2026-04-13T21:02:26+09:00,a3222fdaf50b8332f92d4b4e9d5abfbe664da18559fddfe59dbaec696a108ef2,8,79
,168748,Swing XL Isynth,0,config20260413_aki_tmp.app,3,5,2.47.1.1,2026-04-13T19:25:44+09:00,6ab7e544b5bbc509819f9a5528504f452996a35069aa588969c3b217cd60d07e,7,77
,171424,Swing XL Isynth,0,config20260415_aki.app,3,5,2.47.1.1,2026-05-27T15:45:22+09:00,4270cd75747c60aa6d074e4c83b8cbf00331bb12cefb20f643b74f0ba2dec5d6,10,80
,171231,Swing XL Isynth,0,config20260527_aki.app,3,5,2.47.1.1,2026-05-27T18:36:37+09:00,c11c1fb0300cdee6b00adcedefd08b30b28fef2c93934eb26245c088aee0d904,9,80
,169635,Swing XL Isynth,0,config20260528_aki.app,2,5,2.47.1.1,2026-05-28T18:33:41+09:00,1b896a80e3531c8663ff283245f6b5730d22822c518b43db1a7b141d0370b2a5,11,82
,169390,Swing XL Isynth,0,config20260528_aki_tmp.app,2,5,2.47.1.1,2026-05-28T18:35:48+09:00,11ac9aa485756d018e69e85da013f5168f1d92bddf2c38195ed7ebd600a8ffa4,11,82
