caller,callee,callee_id
<event type=2>,N2 Closed,{CD0FA38B-82D4-4C1C-8F66-015E3E8961BF}
<event type=5>,N2 Closed,{CD0FA38B-82D4-4C1C-8F66-015E3E8961BF}
__GPC_InjectPort,__GPC_SetLoad,{766F368D-1AA0-4849-91C9-38EE8C58B42B}
__GPC_InjectPort,__GPC_SetInject,{DE72B435-9F86-44DB-8B7D-73AC69E41C46}
Run MALS,util Get Time Stamp,{9648806D-EF39-459A-B982-7E2D18C96097}
Run GPC Analysis,__GPC_InjectPort,{74A16D54-E959-4E1E-B06C-C893F679C5EC}
Run GPC Analysis,__GPC_WashPortNeedle,{2A12F404-4EF1-4EED-AABD-EFB5DA3B1E99}
Run GPC Analysis,Run HPLC,{AA2DF4A7-59CF-4B66-A38B-B3C906FA8C28}
Run GPC Analysis,Run MALS,{884C7B17-0C79-4921-922F-C39A8536870F}
Run GPC Analysis,Run HPLC,{AA2DF4A7-59CF-4B66-A38B-B3C906FA8C28}
Run GPC Analysis,Run MALS,{884C7B17-0C79-4921-922F-C39A8536870F}
Dilute and Mix,Mix With Needle2,{4C1C2CF5-B095-44FA-BB2A-35FEE1C11396}
__main,Get Aspirate Chunk,{92ED1B26-C340-4595-9E5F-52B7FFAD00D4}
Prepare GPC Sample,Prime All Port E,{4FB3F3B2-C896-4F14-BB2C-7A846E514DDF}
Prepare GPC Sample,Prime 2nd Sringe Port F,{9E0C4A0C-8660-4DFC-B798-00FD254EC2F4}
Sample and Run GPC,Prepare GPC Sample,{6A0760DB-D60E-4D57-AF7E-8F7A8F489A66}
Sample and Run GPC,Mix With Needle2,{4C1C2CF5-B095-44FA-BB2A-35FEE1C11396}
Sample and Run GPC,Run GPC Analysis,{5B8514D7-3FB1-4F0A-84D5-876C338F8605}
__GPC_SolventInject,__GPC_SetLoad,{766F368D-1AA0-4849-91C9-38EE8C58B42B}
__GPC_SolventInject,__GPC_SetInject,{DE72B435-9F86-44DB-8B7D-73AC69E41C46}
Run GPC Analysis XXX,__GPC_InjectPort,{74A16D54-E959-4E1E-B06C-C893F679C5EC}
Run GPC Analysis XXX,Run HPLC,{AA2DF4A7-59CF-4B66-A38B-B3C906FA8C28}
