index,name,typeid,eventtype,id,edittime,inputs,outputs
0,Prime All Port E,Chemspeed.SATaskFunctionDefinition.1,,{4FB3F3B2-C896-4F14-BB2C-7A846E514DDF},1787299986,"[{""id"": ""{F1636291-B09B-4743-9E41-7DCDCEC04132}"", ""name"": ""priming_1mL_vol"", ""variable_name"": ""priming_1mL_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}, {""id"": ""{C29ED1D6-52E9-4C7A-B98E-6C77AA1D3B06}"", ""name"": ""priming_10mL_vol"", ""variable_name"": ""priming_10mL_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}]",[]
1,util Make Csv,Chemspeed.SATaskFunctionDefinition.1,,{08CCCC89-D643-4945-BE27-7622B8DEFC9A},1787285568,"[{""id"": ""{4B99BA20-43F5-4F41-A5A3-655A5F8C9044}"", ""name"": ""directory_pos_txt"", ""variable_name"": ""directory_pos_txt"", ""type"": ""text"", ""array"": false, ""expression"": """"}, {""id"": ""{C5CDDFA4-A0E5-4292-9AF4-BCA556387A10}"", ""name"": ""filename_txt"", ""variable_name"": ""filename_txt"", ""type"": ""text"", ""array"": false, ""expression"": """"}, {""id"": ""{F60DBBB5-867D-4CC2-836C-1989830C0366}"", ""name"": ""prefix_txt"", ""variable_name"": ""prefix_txt"", ""type"": ""text"", ""array"": false, ""expression"": """"}]","[{""id"": ""{BB4CF6E3-A19D-4A81-B433-31A41D83316A}"", ""name"": ""fullpath_txt"", ""variable_name"": ""fullpath_txt"", ""type"": ""text"", ""array"": false, ""expression"": """"}]"
2,__GPC_SetLoad,Chemspeed.SATaskFunctionDefinition.1,,{766F368D-1AA0-4849-91C9-38EE8C58B42B},1787300117,[],[]
3,__GPC_SetInject,Chemspeed.SATaskFunctionDefinition.1,,{DE72B435-9F86-44DB-8B7D-73AC69E41C46},1787300109,[],[]
4,N2 Open,Chemspeed.SATaskFunctionDefinition.1,,{FA7FAD29-AC99-4587-91E1-FB12500B209E},1785379299,[],"[{""id"": ""{BB121AC7-80D4-4967-AB1B-7E2A2D2768D5}"", ""name"": ""stdout_txt"", ""variable_name"": ""stdout_txt"", ""type"": ""text"", ""array"": false, ""expression"": """"}]"
5,N2 Closed,Chemspeed.SATaskFunctionDefinition.1,,{CD0FA38B-82D4-4C1C-8F66-015E3E8961BF},1785379278,[],"[{""id"": ""{BB121AC7-80D4-4967-AB1B-7E2A2D2768D5}"", ""name"": ""stdout_txt"", ""variable_name"": ""stdout_txt"", ""type"": ""text"", ""array"": false, ""expression"": """"}]"
6,N2 Control,Chemspeed.SATaskFunctionDefinition.1,,{001DCE1D-8E2A-410A-B5E2-72081E9EE4C3},1785379286,"[{""id"": ""{5E9519A7-3CE6-406E-9963-28D3E227F2BA}"", ""name"": ""flow_real"", ""variable_name"": ""flow_real"", ""type"": ""realnumber"", ""array"": false, ""expression"": """"}]","[{""id"": ""{BB121AC7-80D4-4967-AB1B-7E2A2D2768D5}"", ""name"": ""stdout_txt"", ""variable_name"": ""stdout_txt"", ""type"": ""text"", ""array"": false, ""expression"": """"}]"
7,EVENT_type_2_7,Chemspeed.SATaskEventFunction.1,2,{5D569849-4E6F-4B11-88C2-B0AE7D8EAD63},1785225606,[],[]
8,EVENT_type_5_8,Chemspeed.SATaskEventFunction.1,5,{32BB977D-8E8A-4E7B-9C8B-13B8F9178EFA},1785226043,[],[]
9,__GPC_InjectPort,Chemspeed.SATaskFunctionDefinition.1,,{74A16D54-E959-4E1E-B06C-C893F679C5EC},1787708960,"[{""id"": ""{08A07324-A904-4B70-9DA1-9869F67CAF39}"", ""name"": ""sample_zone"", ""variable_name"": ""sample_zone"", ""type"": ""zone"", ""array"": false, ""expression"": """"}, {""id"": ""{11FB6D9B-B7A7-41E7-8CAF-4A4764F15C05}"", ""name"": ""premix_bool"", ""variable_name"": ""premix_bool"", ""type"": ""bool"", ""array"": false, ""expression"": """"}, {""id"": ""{3F26D9BB-A5AE-4FF1-A7BA-D82F5049845E}"", ""name"": ""priming_vol"", ""variable_name"": ""priming_vol"", ""type"": ""volume"", ""array"": false, ""expression"": """"}]",[]
