name,id,wells,attributes
Verification Zone for GDU,{C94B5202-FCDA-4BD9-8501-1A20425C9124},1,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""0"", ""enumerationScheme"": ""1"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
Heater Shaker 23,{1D270F97-3A59-4EBC-9573-7164AB5D9028},1,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""0"", ""enumerationScheme"": ""1"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
Heater Shaker 22,{315514D2-390B-4DE9-B675-F3F1F35B0E78},1,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""0"", ""enumerationScheme"": ""1"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
Heater Shaker 24,{24D98F57-0A75-4BF6-9C39-6346E50BD0F3},1,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""0"", ""enumerationScheme"": ""1"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
Injection valve 1 Load,{23E273D5-F14C-4490-94E9-EF443D1E6413},1,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""-1"", ""enumerationScheme"": ""1"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
Injection valve 1 Inject,{F24CDE6A-2CD0-4937-BA1C-A3BFC34789E2},1,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""-1"", ""enumerationScheme"": ""1"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
Injection valve 3 Load,{AD1DBFA9-F403-4DE2-B2E5-2A355F072363},1,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""-1"", ""enumerationScheme"": ""1"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
Injection valve 3 Inject,{22926C2E-E5B6-4A98-991F-F53DD547A944},1,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""-1"", ""enumerationScheme"": ""1"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
Injection valve 4 Load,{4631329D-1121-4E0A-BA1A-902282289CF8},1,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""-1"", ""enumerationScheme"": ""1"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
Injection valve 4 Inject,{71299573-5DE1-4F01-B53C-F43DB7B8AF17},1,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""-1"", ""enumerationScheme"": ""1"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
Heater Shaker 25,{BC25573D-0E5C-4693-A383-813FB1EFCE2A},1,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""0"", ""enumerationScheme"": ""1"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
Heater Shaker 21,{FEE8BE33-ECC2-497D-9E1F-E95D449E0989},1,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""0"", ""enumerationScheme"": ""1"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
valve ports E,{3B4893DB-E2C1-4C67-9573-63BDB4254EFD},4,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""-1"", ""enumerationScheme"": ""0"", ""elementEnumerationScheme"": ""0"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
Wash1 Outside,{65698075-4230-4432-8C44-DFA33EF0F568},4,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""-1"", ""enumerationScheme"": ""0"", ""elementEnumerationScheme"": ""0"", ""enumerationType"": ""0"", ""isvisible"": ""0""}"
Waste 1,{E554D5CF-A3AA-4500-8C2A-DBEA3C503DA1},4,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""-1"", ""enumerationScheme"": ""0"", ""elementEnumerationScheme"": ""0"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
Wash2 Outside,{06A9017A-607E-442C-9367-8F13D4FA325E},4,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""-1"", ""enumerationScheme"": ""0"", ""elementEnumerationScheme"": ""0"", ""enumerationType"": ""0"", ""isvisible"": ""0""}"
Waste 2,{8CEC3E82-C80D-43CB-97DD-78DC204BEACE},4,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""-1"", ""enumerationScheme"": ""0"", ""elementEnumerationScheme"": ""0"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
Waste 1 #1,{F847E3FC-C289-4A55-AC3A-D7C4E12DA81E},1,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""0"", ""enumerationScheme"": ""1"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
