EXP_ID,SOLV_Toluene,MONO_MMA,INIT_AIBN
ID260909_1,2.42,0.3,0.28
,,,
,,,
,,,
ID260908_5,2.42,0.3,0.28
,,,
,,,
,,,
,,,
,,,
ID260908_11,2.42,0.3,0.28
,,,
,,,
,,,
ID260908_15,2.42,0.3,0.28
,,,
,,,
,,,
,,,
,,,
ID260908_21,2.42,0.3,0.28
,,,
,,,
ID260908_24,2.42,0.3,0.28
ID260908_25,2.42,0.3,0.28
,,,
,,,
ID260908_28,2.42,0.3,0.28
,,,
,,,
,,,
,,,
,,,
ID260908_34,2.42,0.3,0.28
,,,
,,,
,,,
ID260908_38,2.42,0.3,0.28
,,,
,,,
,,,
,,,
,,,
ID260908_44,2.42,0.3,0.28
,,,
,,,
,,,
ID260908_48,2.42,0.3,0.28
