typeid,count,tags,child_fields
Chemspeed.SAMacroTask.1,11280,"{""component"": 1771, ""task"": 9509}",description;name;edittime;expanded;conditionloop;conditionif;conditionwhile;conditiontype;loopvariable;fragmentvariable;executionmode;sequentialzones;multicondition;multiloop;variables;id;tasks;descriptionnewlines;breakbeforeexecution
Chemspeed.SAZone.1,5646,"{""zone"": 5646}",name;edittime;id;well;variables
Chemspeed.SATaskExecuteOperation.1,5590,"{""task"": 5187, ""component"": 403}",description;name;edittime;device;operation;operationid;arguments;results;id;descriptionnewlines
Chemspeed.SATaskWait.1,4316,"{""task"": 4092, ""component"": 224}",description;name;edittime;time;timeunit;msgtodisplay;waitmode;contacts;timername;cancelwait;id
Chemspeed.SATaskSetVariable.1,3480,"{""component"": 644, ""task"": 2836}",description;name;edittime;variablename;expressiontext;elementselectmode;elementnumber;numberofelements;startindex;clearvariable;sortwells;enumerationtype;wellsenumeration;elementsenumeration;id;expressiontextnewlines
Chemspeed.SATaskLiquidTransfer.1,3285,"{""task"": 3087, ""component"": 198}",sourcezone;destzone;tipszone;rinsezone;wastezone;airgapdestzone;extravoldestzone;description;name;edittime;transferdatas;flowrateunit;multipleaspiration;sourceequitime;sourceneedledistancemode;sourceneedledistance;destequitime;destneedledistancemode;destneedledistance;rinseinsidevolume;rinseoutsidevolume;rinseflowrate;rinsealways;rinseatend;unmounttoolatend;limitbydest;autofillvolume;autofillquantityoffset;autofillairgapvolume;autofillsourcespeed;autofilldestinationspeed;autofillunderrun;autofilloverrun;autofilladjustquantity;enabledsyringesmask;selectedsyringesmask;airgapforeachtransfer;extravolumeforeachtransfer;volumeunit;extravolumeunit;airgapvolumeunit;aspiratespeedunit;dipensespeedunit;openposition;rinseneedledistancemode;rinseneedledistance;needlehead;tipsdisposalstation;activeneedletype;ispiercingactive;sourceequitimemode;destequitimemode;postairgapvolume;postairgapvolumeunit;airgapdestmode;extravoldestmode;extravolsrcmode;id;breakbeforeexecution
Chemspeed.SATaskExecuteFunction.1,3050,"{""task"": 2800, ""component"": 250}",description;name;edittime;functiondata;functionid;id;functionname;inputs;outputs
Chemspeed.SATaskSetReactionBlockState.1,2495,"{""task"": 2422, ""component"": 73}",zone;description;name;edittime;taskdatas;updatedstate;state;refreshmode;opentime;closedtime;unmounttoolatend;gasdensityunit;gasdensityunitch2;flowSetPointunit;gasmaxvolumemasterunit;gasmaxvolumeslaveunit;gasmaxvolumech3unit;picsetpointunit;gasmasterslaveratiounit;gasratioch1unit;gasratioch2unit;gasratioch3unit;reactivegasopentimeunit;mfmintegralresetbehavior;picswitchon;picswitch2on;picswitch3on;masterchannel;controlmode;autofillgasdensity;autofillgasdensitych2;autofillgasdensitych3;autofillgasconversionfactor;autofillgasconversionfactorch2;autofillgasconversionfactorch3;autofillgasmaxvolumeflowch1;autofillgasmaxvolumemaster;autofillgasmaxvolumeslave;autofillgasmaxvolumech3;autofillgasname;autofillmfmindividualresetsetpoint;autofillpicsetpoint;autofillrelativepicsetpoint;autofillgasmasterslave1ratio;autofillgasratioch1;autofillgasratioch2;autofillgasratioch3;autofillreactivegasopentime;id
Chemspeed.SATaskFunctionDefinition.1,1580,"{""function"": 1580}",description;name;edittime;expanded;functiondata;id;components;functionid;descriptionnewlines
Chemspeed.SATaskSetAgitation.1,1521,"{""task"": 1431, ""component"": 90}",zone;description;name;edittime;taskdatas;switchon;speedunit;autofillspeed;stirrertype;id
Chemspeed.SATaskUserDialog.1,1368,"{""task"": 1339, ""component"": 29}",highlightzone;destzone;description;name;edittime;resultvariablename;targetamountvariable;sourcematerial;maxwaittimeexpression;dialogtype;resultunit;interpretmessageasexpressionflag;message;initialvalue;buttonoption;timeoutanswerexpression;yesokresultexpression;noresultexpression;maxwaittimeunit;picturepathexpression;validateinput;minvalidationvalueexpression;maxvalidationvalueexpression;fontsize;usemonospacedfont;defaultpauseafterdialog;softstopping;autodialogheight;dialogwidth;dialogheight;hlrootelementname;hlzonecolor;hldescriptioncount;logtoserver;messagetype;severity;runid;experimentid;trialnumber;productid;id;hlelementname0;hlelementcolor0
Chemspeed.SAMoModulePlate.1,1088,"{""element"": 1088}",name;edittime;log;logdeadband;absolutedeadband;deadbandunit;currentrole;calibrationx;calibrationy;calibrationz;numberoftools;deviceid;footprintid;haspressure;id;wells
Chemspeed.SATaskLogData.1,970,"{""task"": 970}",categorynameexpression;streamnameexpression;expressiontext;resulttype;description;name;edittime;id
Chemspeed.SATaskSetVacuum.1,702,"{""component"": 56, ""task"": 646}",zone;description;name;edittime;taskdatas;switchon;pressureunit;autofillpressure;id
Chemspeed.SADeviceDigitalOutput.1,658,"{""element"": 658}",outputid;hasmanualcontrol;name;edittime;log;logdeadband;absolutedeadband;deadbandunit;currentrole;calibrationx;calibrationy;calibrationz;numberoftools;deviceid;footprintid;id;wells
Chemspeed.SATaskSetTemperature.1,612,"{""task"": 612}",zone;description;name;edittime;switchon;maxwaittime;internalcontrol;autofilltemp;temperatureunit;autofillgradient;gradientunit;taskdatas;id
Chemspeed.SATaskCondition.1,566,"{""task"": 566}",description;name;edittime;expanded;conditiontype;condition;id;components;tasks
Chemspeed.SATaskSetElectricalContact.1,536,"{""task"": 536}",description;name;edittime;switchon;contact;id
Chemspeed.SAModuleConfigurableRack.1,526,"{""element"": 526}",name;edittime;log;logdeadband;absolutedeadband;deadbandunit;currentrole;calibrationx;calibrationy;calibrationz;numberoftools;toolname0;constraints0;usedefaultparent0;usedefaultiffail0;deviceid;footprintid;rackoriginpositionx;rackoriginpositiony;rackoriginpositionz;xrack;yrack;zrack;racktype;norows;nocolumns;xdistance;ydistance;checksymm;wellparameterss;agitation;vortexelement;captype;id;wells
