typeid,count_in_full_corpus,node_tags_observed,child_tags_observed,representative_source,representative_bytes,representative_fragment
Chemspeed.SADeviceAccelerator.1,68,element,absolutedeadband | calibrationx | calibrationy | calibrationz | currentrole | deadbandunit | deviceid | edittime | elements | expanded | footprintid | haslaser | humidityLogDeadband | id | log | logdeadband | name | numberoftools | skiphomingatstart | temperatureLogDeadband | visualizeunit | wells,app/config20260909_polymerization.app,1130401,00_Chemspeed.SADeviceAccelerator.1_representative.xml
Chemspeed.SADeviceController.1,335,element,absolutedeadband | calibrationx | calibrationy | calibrationz | currentrole | deadbandunit | deviceid | drivernodeid | edittime | footprintid | gradienttype | id | log | logdeadband | name | numberoftools | visualizeunit | wells,app/config20260909_polymerization.app,690,01_Chemspeed.SADeviceController.1_representative.xml
Chemspeed.SADeviceDigitalOutput.1,658,element,absolutedeadband | calibrationx | calibrationy | calibrationz | currentrole | deadbandunit | deviceid | edittime | footprintid | hasmanualcontrol | id | log | logdeadband | name | numberoftools | outputid | wells,app/config20260909_polymerization.app,615,02_Chemspeed.SADeviceDigitalOutput.1_representative.xml
Chemspeed.SADeviceDiluter.1,272,element,absolutedeadband | airgapflowrate | calibrationx | calibrationy | calibrationz | currentrole | deadbandunit | deviceid | edittime | footprintid | id | log | logdeadband | name | numberoftools | pumptype | syringevolume | wells,app/config20260909_polymerization.app,801,03_Chemspeed.SADeviceDiluter.1_representative.xml
Chemspeed.SADeviceGDUPS.1,67,element,absolutedeadband | calibrationx | calibrationy | calibrationz | currentrole | deadbandunit | deviceid | edittime | footprintid | id | isweightlossmonitoring | log | logdeadband | name | numberoftools | wells,app/config20260909_polymerization.app,753,04_Chemspeed.SADeviceGDUPS.1_representative.xml
Chemspeed.SADeviceGasMonitor.1,1,element,absolutedeadband | calibrationx | calibrationy | calibrationz | currentrole | deadbandunit | deviceid | edittime | footprintid | gascomputertype | id | log | logdeadband | logdeadbandsensor1 | logdeadbandsensor2 | logdeadbandsensor3 | logdeadbandsensor4 | name | numberoftools | sensorenable1 | sensorenable2 | sensorenable3 | sensorenable4 | sensorname1 | sensorname2 | sensorname3 | sensorname4 | visualizeunitsensor1 | visualizeunitsensor2 | visualizeunitsensor3 | visualizeunitsensor4 | wells,app/Suzuki-Miyaura-automation.app,1226,05_Chemspeed.SADeviceGasMonitor.1_representative.xml
Chemspeed.SADeviceGripper.1,68,element,absolutedeadband | calibrationx | calibrationy | calibrationz | currentrole | deadbandunit | deviceid | edittime | footprintid | grippertype | id | log | logdeadband | name | newtransportstrategy | numberoftools | wells,app/config20260909_polymerization.app,751,06_Chemspeed.SADeviceGripper.1_representative.xml
Chemspeed.SADeviceHPLCValve.1,203,element,absolutedeadband | calibrationx | calibrationy | calibrationz | contact | currentrole | deadbandunit | deviceid | doactivehigh | edittime | footprintid | id | isloadinitialpos | log | logdeadband | name | numberoftools | port | wells,app/config20260909_polymerization.app,1856,07_Chemspeed.SADeviceHPLCValve.1_representative.xml
Chemspeed.SADeviceISynthBlock2.1,202,element,absolutedeadband | blocktype | calibrationx | calibrationy | calibrationz | currentrole | deadbandunit | deviceid | draweroffsetx | draweroffsety | draweroffsetz | edittime | footprintid | gripperfullyopenoffset | id | log | logdeadband | movebackwardoffset | moveforwardoffset | name | numberoftools | reactortype | version | wells,app/config20260909_polymerization.app,53092,08_Chemspeed.SADeviceISynthBlock2.1_representative.xml
Chemspeed.SADeviceIndividualShaker.1,337,element,absolutedeadband | calibrationx | calibrationy | calibrationz | currentlogdeadband | currentlogdeadbandunit | currentrole | deadbandunit | deviceid | edittime | elements | expanded | footprintid | id | knob | log | logdeadband | name | numberoftools | shakingdirection | speedlogdeadband | speedlogdeadbandunit | visualizeunitforcurrent | visualizeunitforshaking | wells,app/config20260909_polymerization.app,54253,09_Chemspeed.SADeviceIndividualShaker.1_representative.xml
